Blog	four	looking	here	music	until	want	travel	series	re	service	needed	project	tech	came	saying	best	asked	much	life	kids	things	had	easy	possible	right	old	people	o	support	happy	inside	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	city	future	san	say	take	drive	ways	going	where	many	wants	photos	former	technology	being	around	world	power	favorite	mean	image	her	am	having	th	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	also	play	set	see	available	let	community	recent	person	d	continue	anything	into	line	up	us	ago	code	results	try	video	great	makes	tools	next	high	move	doing	could	put	system	haven	fact	should	means	stuff	email	ve	site	off	less	web	government	five	become	does	worth	told	word	work	interview	then	them	they	network	another	do	away	com	launched	photo	night	post	months	way	together	change	live	car	write	product	still	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	food	real	read	early	using	business	your	start	lot	trying	building	month	very	learned	finally	actually	event	since	reason	american	pretty	x	close	won	probably	both	help	else	look	while	game	some	doesn	e	during	go	facebook	click	started	links	hit	him	front	keep	need	able	based	she	computer	key	problem	well	page	twitter	home	he	amp	companies	likely	even	new	ever	never	tell	rights	give	before	personal	better	went	used	open	content	isn	seen	don	m	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	popular	down	did	run	box	making	may	man	maybe	talk	nbsp	interesting	after	language	thing	think	first	little	were	paid	especially	show	get	enough	reading	across	according	those	different	pay	same	money	again	important	u	starting	issues	public	search	two	share	needs	plans	through	someone	everyone	house	hard	idea	done	least	part	b	build	most	find	please	simple	create	understand	fun	itself	spend	source	big	bit	google	often	back	either	single	entire	others	ll	day	announced	text	national	taking	almost	ios	thought	add	happens	buy	under	every	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	their	top	too	took	though	watch	amazon	report	news	several	everything	why	check	no	when	says	water	today	happened	name	turn	place	view	given	any	ideas	sure	state	outside	come	case	good	party	week	without	seems	blog	there	far	list	version	known	short	might	number	feel	story	kind	nothing	his	wrote	art	recently	question	long	called	nice	users	once	app	use	few	women	something	united	instead	our	out	york	update	which	who	april	last	gets	point	book	know	because	getting	own	made	other
Neil Gaiman's Journal	5	7	41	6	5	20	0	4	15	2	5	5	0	17	13	9	5	34	15	7	52	75	4	3	18	15	71	0	9	13	4	6	37	3	5	17	4	0	10	0	59	19	3	13	5	0	3	2	0	2	13	11	1	6	34	17	13	1	8	2	0	17	17	26	3	0	5	13	35	17	11	13	8	2	8	6	1	1	0	0	4	3	14	9	12	26	24	2	7	19	5	10	1	2	1	37	1	6	25	2	39	57	17	1	2	4	6	11	6	0	17	5	1	15	32	20	1	4	1	18	3	13	6	27	4	11	2	1	1	1	6	3	3	16	6	17	11	25	37	87	0	10	34	14	32	1	12	17	10	11	15	11	7	3	1	15	0	19	28	39	3	9	3	16	0	7	2	29	15	4	7	13	4	3	9	28	3	6	4	22	4	6	10	0	7	29	5	2	17	8	8	1	5	5	2	2	10	8	10	15	4	13	17	1	41	8	5	3	22	3	3	4	3	2	38	1	2	14	5	1	48	0	1	7	13	3	5	5	76	4	0	0	18	73	13	18	6	3	6	24	2	6	23	4	2	2	6	9	10	51	6	1	31	2	0	17	2	50	25	10	24	6	3	6	1	5	24	13	1	9	9	5	2	12	304	3	18	0	19	16	33	9	65	6	8	10	35	11	3	3	0	4	9	10	7	17	9	4	0	2	9	12	0	23	3	4	2	10	6	4	4	7	17	10	0	16	7	1	10	12	3	2	0	2	3	3	2	0	6	9	2	3	30	2	2	3	2	22	24	3	2	2	2	8	0	11	1	3	7	3	8	43	12	2	99	69	3	19	24	20	9	16	8	15	20	9	36	6	20	5	5	6	8	1	7	1	13	17	0	15	65	4	2	3	9	6	2	11	5	3	11	4	4	1	0	14	6	38	2	20	9	10	12	58	2	7	7	4	10	7	1	4	27	8	5	42	20	71	2	1	21	18	8	0	7	2	11	16	2	21	0	5	30	74	5	1	44	54	0	32	3	3	61	14	34	8	7	21	25
456 Berea Street	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	5	5	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	3	0	0	0	0	1	0	0	0	0	0	16	0	0	1	0	2	0	12	0	0	0	0	0	0	0	7	1	1	3	1	0	3	4	0	0	0	1	0	3	0	0	1	0	1	0	2	1	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	1	0	0	3	2	1	0	4	0	0	0	0	1	0	0	2	0	1	2	1	0	0	4	0	0	0	0	0	4	0	3	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	1	3	0	0	0	10	0	5	0	1	0	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	2	0	1	2	0	6	2	0	5	1	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	0	0	3	4	0	0	0	1	0	0	0	4	0	2	1	0	0	1	2	0	0	0	2	0	3	3	1	4	0	0	0	0	0	0	1	0	7	5	0	2	0	0	0	0	4	0	0	0	3	5	0	0	1	0	0	3	0	0	3	0	0	3	0	0	1	2	1	0	0	1	1	5	0	1	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	3	2	0	0	3	1	0	0	1	1	0	0	0	1	0	4	0	2	0	2	0	2	0	0	0	0	10	0	0	0	0	3	1	2	0	0	2	0	0	0	2	3	0	0	5	1	2	0	0	0	0	1	3	2	2	0	0	0	0	2	1	1	0	2	0	5	8	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	1	2	0	0	1	0	0	5	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	12	0	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	1	1	1	0	0
Joel on Software	4	0	7	1	3	25	0	1	36	0	3	6	0	2	0	5	2	8	1	0	22	12	4	3	6	4	45	0	1	3	2	1	20	11	0	4	5	3	2	0	59	7	2	9	5	6	2	6	3	1	3	7	10	2	11	11	7	2	0	0	1	6	11	10	1	0	2	3	0	2	1	2	4	0	4	4	2	2	0	10	2	0	2	4	6	15	4	1	4	8	4	11	2	0	1	3	4	2	17	4	45	15	0	20	0	3	0	26	10	6	6	1	4	4	16	2	15	1	5	8	2	5	2	7	6	6	2	4	1	3	0	2	4	1	2	22	0	9	30	75	4	0	25	1	0	3	0	0	4	9	15	3	2	1	3	2	14	8	12	7	1	1	2	18	0	3	1	7	4	0	1	10	0	1	2	5	3	15	8	20	8	16	8	3	3	9	0	0	12	1	8	1	0	4	1	2	1	2	10	9	4	7	9	1	23	9	0	1	13	0	2	4	0	1	1	0	7	15	3	2	0	0	0	2	6	2	2	1	1	6	12	3	21	19	2	10	3	0	2	5	1	12	2	6	10	1	1	2	22	7	5	5	3	0	0	9	0	33	21	1	22	2	2	2	2	8	5	1	0	6	7	0	3	1	22	2	5	2	8	11	19	10	13	2	1	1	32	3	2	0	0	14	9	11	4	21	0	1	0	5	0	4	6	12	1	3	1	3	1	5	0	5	8	6	1	2	1	8	13	11	2	2	2	3	0	3	2	8	14	8	3	5	5	4	5	1	2	10	10	0	0	0	1	3	0	7	7	1	4	1	24	12	1	1	12	7	1	2	8	6	5	10	11	4	6	9	23	2	9	2	6	1	1	1	3	2	12	9	2	6	22	1	2	9	0	0	1	4	3	2	19	9	7	0	3	5	3	6	0	1	5	2	5	23	0	6	10	2	3	17	7	4	2	10	0	0	1	16	1	2	6	8	1	13	2	3	11	9	0	9	0	0	32	28	1	1	32	19	1	2	1	7	0	12	19	9	8	4	15
Boing Boing	0	1	1	0	1	4	0	1	5	1	0	1	0	1	0	1	1	0	2	4	0	4	1	0	7	2	10	0	0	0	3	2	1	0	3	0	0	1	1	0	3	1	1	1	0	0	0	7	0	2	0	0	2	0	2	1	1	0	2	2	1	1	4	3	2	1	0	2	1	1	0	0	0	0	1	0	1	2	4	0	4	2	12	0	1	0	4	2	0	2	0	1	0	0	1	2	0	1	5	1	3	4	1	0	0	0	5	0	1	1	2	1	2	0	0	0	0	0	0	3	1	0	2	1	6	0	0	3	5	0	0	1	0	0	2	5	1	1	4	14	0	2	1	0	3	0	1	0	0	1	1	0	1	0	2	0	0	0	5	2	0	0	0	1	0	0	3	1	0	1	0	1	2	0	3	4	0	1	0	4	0	2	0	0	2	0	0	0	1	0	2	0	1	0	3	2	0	1	2	1	0	1	1	1	4	0	0	1	1	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	2	2	11	0	3	0	2	7	0	1	2	0	0	1	0	0	0	10	2	0	1	0	0	4	0	0	7	5	0	1	1	2	6	0	3	0	0	0	2	3	1	1	0	1	2	1	0	1	0	0	6	2	0	1	4	3	6	0	1	2	6	0	3	2	2	2	1	3	1	1	0	2	4	0	0	1	0	3	1	0	1	0	0	0	4	0	0	1	1	1	0	0	1	1	1	0	0	0	2	2	0	0	1	0	5	1	1	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	1	3	4	3	1	0	0	5	0	1	3	0	0	1	0	0	0	0	5	0	1	3	2	3	2	8	2	1	0	1	0	3	7	8	1	1	0	1	1	2	1	0	3	1	1	7	2	1	6	1	0	0	3	0	0	5	0	0	0	2	1	2	0	0	1	0	0	10	3	0	1	0	0	3	0	1	2	0	3	0	1	0	2	1	4	5	0	3	5	14	1	2	3	0	3	2	4	0	1	2	3
The Full Feed from HuffingtonPost.com	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	6	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	3	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	1	0	6	0	7	0	2	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	0	2	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	4	1
Search Engine Watch	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	4	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
WIL WHEATON dot NET	1	0	4	0	2	17	3	2	16	0	2	0	0	1	0	5	0	11	9	1	18	6	3	3	4	3	9	0	0	0	0	2	8	0	0	12	7	3	1	0	29	3	0	5	1	0	1	0	1	0	3	5	0	0	12	4	1	0	0	1	0	6	2	8	0	1	0	0	0	4	2	0	2	0	1	2	1	0	0	0	3	0	2	4	0	14	8	12	3	7	0	4	2	0	0	4	0	1	9	1	18	6	1	0	0	0	1	11	3	0	3	0	0	16	3	2	1	2	1	1	2	6	0	21	0	4	2	0	0	3	0	2	1	1	0	8	0	7	4	6	0	2	20	3	1	0	1	2	2	4	7	3	2	2	0	6	0	4	4	10	1	0	1	4	0	2	1	5	3	0	1	0	0	2	1	3	0	1	0	10	0	14	1	2	10	2	0	0	3	0	6	3	0	6	1	0	0	4	2	0	1	3	2	45	18	1	0	2	4	0	0	2	0	2	0	0	4	10	4	0	0	0	0	1	4	0	0	1	0	1	0	0	7	1	3	4	2	0	3	7	0	9	1	0	0	0	6	0	10	32	3	6	3	3	0	3	0	16	12	0	10	0	3	1	1	3	13	4	2	3	3	1	6	0	11	0	4	0	10	6	6	2	4	0	1	6	15	3	7	0	0	3	2	0	2	0	3	5	0	0	0	0	0	6	2	1	0	2	2	1	1	3	3	2	2	6	3	1	3	0	0	1	0	0	10	0	0	0	3	2	0	0	4	2	2	1	0	7	26	0	0	0	3	1	0	2	0	1	1	1	9	4	0	0	17	30	0	2	4	2	4	4	0	6	9	0	6	0	1	2	3	2	0	0	0	1	3	10	3	3	11	0	0	4	3	0	0	2	0	0	7	2	0	0	0	3	0	12	1	2	1	1	0	8	0	4	3	0	1	0	0	13	5	3	0	0	1	0	1	0	1	6	2	0	2	1	2	3	0	13	0	2	10	13	0	0	7	11	5	11	0	3	1	7	28	6	4	2	12
Latest from Crooks and Liars	0	0	1	0	5	3	0	0	3	1	0	1	0	2	3	0	1	2	0	0	1	3	0	2	3	1	3	1	0	3	1	0	6	0	1	1	0	2	1	0	8	1	2	2	0	0	1	1	0	0	2	1	0	0	4	1	1	3	0	0	0	2	0	0	0	0	1	0	5	0	0	1	0	1	1	0	0	0	1	0	3	0	0	1	2	3	3	0	0	5	0	1	0	0	0	1	0	0	0	2	3	0	0	1	0	2	0	1	0	0	0	3	1	2	4	2	0	0	2	4	1	0	0	0	1	1	0	0	2	0	0	1	0	3	0	2	5	0	3	5	0	2	5	1	1	0	0	0	0	1	2	0	0	1	0	0	1	1	3	1	0	0	0	1	0	1	2	7	1	0	1	0	1	0	2	8	0	2	0	5	1	1	1	0	1	4	0	1	5	0	2	2	1	1	0	0	0	1	0	0	0	0	0	0	3	3	0	1	1	2	0	0	0	0	3	2	0	1	0	0	6	0	0	0	2	1	0	0	44	0	0	1	3	1	2	3	1	5	0	2	0	0	0	3	1	0	1	0	0	0	0	1	13	1	0	1	0	6	3	1	10	0	1	0	0	3	4	2	0	1	1	1	0	0	0	0	8	0	1	6	3	0	3	0	1	1	2	0	0	0	0	1	0	3	2	0	1	0	2	1	1	1	0	0	1	0	0	0	0	2	0	0	2	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	3	0	0	3	0	1	2	1	0	4	1	0	0	0	0	0	0	2	6	8	0	1	0	2	1	4	2	0	0	0	1	0	1	0	3	0	0	2	2	0	0	0	3	0	5	1	2	5	4	4	0	6	0	2	0	0	2	0	1	0	1	0	3	1	1	2	4	2	0	1	0	10	2	1	0	0	1	0	0	2	0	1	5	19	0	4	2	0	2	1	0	0	0	0	1	0	6	1	2	1	4	8	0	0	2	10	1	3	0	4	0	4	9	2	0	2	1
Creating Passionate Users	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	4	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	2	0	0	0	0	0	1	0	2	1	1	1	0	0	0	1	0	0	0	1	5	0	5	0	1	0	1	0	0	1	1	0	2	1	2	1	1	0	0	0	0	0	0	1	0	1
Kotaku	1	1	3	0	0	1	0	2	2	0	0	1	0	0	0	2	2	2	1	0	1	0	0	0	0	0	2	0	0	0	1	0	1	1	2	1	1	0	0	0	2	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	1	2	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	2	2	4	0	1	0	1	2	0	0	1	0	0	4	0	2	3	1	0	0	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	0	1	0	1	3	2	0	0	0	1	4	0	0	0	0	1	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	1	26	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	3	0	5	3	2	2	3	2	1	1	1	0	0	2	0	1	0	0	0	0	0	0	1	1	2	1	0	9	1	1	0	2	2	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	4	1	1	4	1	0	0	0	4	0	3	0	0	0	2	0	1	0	0	0	0	2	1	2	0	2	0	0	1	3	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	2	1	0	1	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	2	4	2	1	1	3	3	2	0	0	0	0	0	1	1	0	1	0	1	3	0	0	9	1	0	2	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	5	5	0	0	0	3	0	1	0	4	0	1	0	0	0	2	1
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Joho the Blog	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2	0	0	1	0	0	0	1	0	1	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	2	0	1	3	0	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	11	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	7	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	2	2	0	1	2	0	2	2	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1
Derek Powazek	0	1	6	0	0	1	1	0	7	0	0	0	1	1	0	1	0	1	5	1	1	3	2	1	4	2	2	0	0	4	0	1	4	0	1	1	0	1	0	0	7	5	1	1	1	0	0	0	0	2	3	1	0	1	4	0	1	0	2	0	0	0	1	3	0	0	0	0	9	3	0	0	2	0	1	0	0	0	0	1	0	0	1	4	1	2	2	0	0	3	1	1	3	0	0	2	4	1	4	0	11	4	2	0	0	1	0	5	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	11	2	1	1	1	0	0	0	0	0	0	3	3	0	7	2	6	1	3	7	1	1	0	0	2	3	2	0	1	1	2	1	3	1	4	10	4	0	0	0	2	0	2	0	1	4	0	1	2	2	1	0	0	1	1	1	6	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	2	0	1	0	1	0	3	0	0	0	4	0	0	2	0	1	2	0	0	1	1	0	7	0	1	0	2	1	1	0	5	0	0	0	1	5	1	3	0	1	0	1	0	0	3	1	1	1	0	1	4	12	3	1	3	1	0	4	0	9	1	1	11	0	1	1	0	2	4	0	1	0	0	1	1	3	0	0	4	0	4	4	3	7	2	1	2	3	6	5	4	0	0	1	0	0	3	3	2	0	0	0	2	0	0	9	1	0	1	1	0	1	0	3	0	1	0	2	0	0	2	1	0	1	2	0	0	2	0	0	1	0	0	2	2	0	1	0	0	4	2	1	0	0	1	1	0	1	0	1	1	1	3	0	0	1	15	22	1	0	5	2	1	1	0	0	4	1	4	2	2	3	0	1	0	0	1	0	2	1	0	2	11	0	0	2	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	3	0	0	1	7	0	0	0	0	1	1	1	5	3	1	0	3	1	0	0	0	1	0	2	0	2	0	0	5	0	8	0	0	3	9	0	1	2	1	0	7	2	0	6	6	3	2	2	2	3
Jeremy Zawodny's blog	1	2	6	0	4	3	0	1	5	2	2	0	0	1	0	2	4	4	1	0	5	17	0	2	5	0	6	0	0	2	1	2	23	3	5	0	4	2	3	4	23	8	3	11	2	0	1	0	2	3	6	3	0	0	8	8	3	2	5	1	0	4	3	1	0	2	1	0	1	4	5	0	5	0	3	0	1	1	1	2	0	1	0	1	1	12	7	0	4	10	2	0	0	2	2	13	0	2	9	14	24	28	6	1	1	4	0	2	4	2	5	6	0	2	13	2	1	1	3	6	1	2	3	7	1	5	1	0	0	0	0	3	0	2	0	6	0	16	7	26	4	4	6	4	0	0	0	2	2	0	13	2	1	0	0	2	1	4	5	2	0	0	0	4	0	0	0	7	2	0	0	1	1	0	1	3	0	4	4	13	1	7	3	0	0	16	2	1	1	0	7	1	0	1	3	0	0	6	4	5	1	0	6	0	22	1	0	2	9	0	0	1	0	0	4	1	2	5	0	0	2	1	0	2	7	0	1	1	9	0	0	2	4	8	3	3	0	0	3	12	0	2	6	1	0	1	0	2	1	6	0	6	2	1	3	1	0	18	4	4	9	0	0	2	0	25	7	1	1	1	5	0	3	3	0	3	11	0	3	3	13	2	24	0	2	0	16	2	4	8	0	2	1	0	3	0	0	4	0	0	0	2	1	6	0	0	3	2	0	4	0	5	2	0	0	0	1	1	8	2	3	0	0	1	3	1	0	0	0	11	0	2	16	3	1	3	3	8	8	0	0	0	1	0	0	0	0	2	3	0	1	8	0	3	17	21	3	5	9	0	5	8	1	0	0	1	13	4	5	6	1	1	0	0	0	3	2	5	2	5	16	0	13	3	2	3	4	1	1	0	2	0	3	0	2	1	1	6	0	4	1	3	3	19	2	1	0	1	3	2	2	1	0	0	0	10	1	0	2	0	10	2	3	2	1	0	10	13	0	7	0	3	22	8	0	0	9	5	0	2	1	4	1	5	6	6	0	7	8
